Modelo,Correlação,Equação Regressão,Erro Padrão,Comparado com MLP
MLP,0.9973184009167007,y = 0.9934x + 9.2869,89.06833062040067,
Linear,0.9974376056281233,y = 0.9949x + 7.9672,87.05606183804856,21.10809030478419
Polinomial (grau 3),0.9977434673784735,y = 0.9952x + 7.4682,81.70227461966726,30.829581581579337
